LoiGiaiID,improvedParam,preservedParam,principleId,priority
728,3,1,1,0
729,3,2,1,0
730,3,2,2,0
731,3,2,17,0
732,3,2,30,0
733,3,2,15,0
734,3,2,4,0
735,3,2,5,0
736,3,4,1,0
737,3,4,17,0
738,3,4,15,0
739,3,4,24,0
740,3,4,13,0
741,3,4,28,0
742,3,4,30,0
743,3,5,15,0
744,3,5,17,0
745,3,5,4,0
746,3,5,14,0
747,3,5,3,0
748,3,5,1,0
749,3,5,29,0
750,3,5,30,0
751,3,5,35,0
752,3,6,17,0
753,3,6,3,0
754,3,6,7,0
755,3,6,15,0
756,3,6,1,0
757,3,6,29,0
758,3,6,4,0
759,3,7,17,0
760,3,7,14,0
761,3,7,7,0
762,3,7,3,0
763,3,7,4,0
764,3,7,35,0
765,3,7,1,0
766,3,7,13,0
767,3,7,30,0
768,3,7,2,0
769,3,8,17,0
770,3,8,3,0
771,3,8,31,0
772,3,8,19,0
773,3,8,14,0
774,3,8,4,0
775,3,8,30,0
776,3,9,1,0
777,3,9,35,0
778,3,9,3,0
779,3,9,29,0
780,3,9,30,0
781,3,9,10,0
782,3,9,17,0
783,3,9,12,0
784,3,9,14,0
785,3,10,35,0
786,3,10,3,0
787,3,10,4,0
788,3,10,1,0
789,3,10,40,0
790,3,10,7,0
791,3,10,30,0
792,3,10,31,0
793,3,11,28,0
794,3,11,1,0
795,3,11,10,0
796,3,11,32,0
797,3,11,17,0
798,3,11,13,0
799,3,11,15,0
800,3,12,19,0
801,3,12,17,0
802,3,12,10,0
803,3,12,1,0
804,3,12,3,0
805,3,12,2,0
806,3,12,28,0
807,3,13,10,0
808,3,13,35,0
809,3,13,1,0
810,3,13,3,0
811,3,13,19,0
812,3,13,2,0
813,3,13,15,0
814,3,14,14,0
815,3,14,1,0
816,3,14,13,0
817,3,14,4,0
818,3,14,17,0
819,3,14,12,0
820,3,14,3,0
821,3,14,7,0
822,3,15,17,0
823,3,15,4,0
824,3,15,14,0
825,3,15,10,0
826,3,15,12,0
827,3,15,7,0
828,3,15,2,0
829,3,16,1,0
830,3,16,35,0
831,3,16,17,0
832,3,16,14,0
833,3,16,25,0
834,3,16,3,0
835,3,16,8,0
836,3,16,24,0
837,3,16,22,0
838,3,17,35,0
839,3,17,17,0
840,3,17,3,0
841,3,17,14,0
842,3,17,1,0
843,3,17,24,0
844,3,17,15,0
845,3,18,1,0
846,3,18,35,0
847,3,18,14,0
848,3,18,3,0
849,3,18,38,0
850,3,18,19,0
851,3,18,29,0
852,3,18,4,0
853,3,19,1,0
854,3,19,35,0
855,3,19,3,0
856,3,19,14,0
857,3,19,12,0
858,3,19,8,0
859,3,19,17,0
860,3,19,29,0
861,3,20,35,0
862,3,20,40,0
863,3,20,29,0
864,3,20,8,0
865,3,20,34,0
866,3,20,3,0
867,3,20,31,0
868,3,20,15,0
869,3,20,30,0
870,3,21,1,0
871,3,21,15,0
872,3,21,3,0
873,3,21,14,0
874,3,21,17,0
875,3,21,34,0
876,3,21,12,0
877,3,21,35,0
878,3,21,40,0
879,3,22,10,0
880,3,22,15,0
881,3,22,35,0
882,3,22,19,0
883,3,22,3,0
884,3,22,31,0
885,3,22,36,0
886,3,23,19,0
887,3,23,1,0
888,3,23,32,0
889,3,23,5,0
890,3,23,7,0
891,3,23,24,0
892,3,24,17,0
893,3,24,35,0
894,3,24,19,0
895,3,24,3,0
896,3,24,4,0
897,3,24,13,0
898,3,24,1,0
899,3,24,28,0
900,3,25,1,0
901,3,25,4,0
902,3,25,35,0
903,3,25,29,0
904,3,25,28,0
905,3,25,3,0
906,3,25,10,0
907,3,25,15,0
908,3,25,23,0
909,3,26,15,0
910,3,26,19,0
911,3,26,2,0
912,3,26,10,0
913,3,26,29,0
914,3,26,4,0
915,3,26,3,0
916,3,27,2,0
917,3,27,35,0
918,3,27,14,0
919,3,27,1,0
920,3,27,7,0
921,3,27,3,0
922,3,27,19,0
923,3,27,39,0
924,3,28,1,0
925,3,28,24,0
926,3,28,25,0
927,3,28,2,0
928,3,28,3,0
929,3,28,7,0
930,3,28,32,0
931,3,29,17,0
932,3,29,3,0
933,3,29,13,0
934,3,29,1,0
935,3,29,19,0
936,3,29,28,0
937,3,29,35,0
938,3,30,10,0
939,3,30,35,0
940,3,30,38,0
941,3,30,7,0
942,3,30,19,0
943,3,30,1,0
944,3,30,24,0
945,3,30,30,0
946,3,31,3,0
947,3,31,17,0
948,3,31,15,0
949,3,31,2,0
950,3,31,19,0
951,3,31,25,0
952,3,31,39,0
953,3,31,33,0
954,3,32,15,0
955,3,32,1,0
956,3,32,14,0
957,3,32,17,0
958,3,32,25,0
959,3,32,16,0
960,3,32,13,0
961,3,32,3,0
962,3,32,19,0
963,3,33,23,0
964,3,33,28,0
965,3,33,17,0
966,3,33,3,0
967,3,33,10,0
968,3,33,1,0
969,3,34,15,0
970,3,34,29,0
971,3,34,35,0
972,3,34,10,0
973,3,34,1,0
974,3,34,4,0
975,3,34,7,0
976,3,34,13,0
977,3,35,35,0
978,3,35,10,0
979,3,35,14,0
980,3,35,17,0
981,3,35,40,0
982,3,35,3,0
983,3,35,2,0
984,3,35,29,0
985,3,35,1,0
986,3,36,1,0
987,3,36,28,0
988,3,36,10,0
989,3,36,17,0
